Año,Fecha (dd/mm/aaaa),TRM,Día del mes,Mes,Id Mes
2022,2022-11-02,"4975,58",2,Noviembre,11
2022,2022-11-03,"5015,84",3,Noviembre,11
2022,2022-11-04,"5058,02",4,Noviembre,11
2022,2022-11-05,"5061,21",5,Noviembre,11
2022,2022-11-06,"5061,21",6,Noviembre,11
2022,2022-11-07,"5061,21",7,Noviembre,11
2022,2022-11-08,"5061,21",8,Noviembre,11
2022,2022-11-09,"5013,2",9,Noviembre,11
2022,2022-11-10,"4914,71",10,Noviembre,11
2022,2022-11-11,"4806,07",11,Noviembre,11
2022,2022-11-12,"4806,07",12,Noviembre,11
2022,2022-11-13,"4806,07",13,Noviembre,11
2022,2022-11-14,"4806,07",14,Noviembre,11
2022,2022-11-15,"4806,07",15,Noviembre,11
2022,2022-11-16,"4801,06",16,Noviembre,11
2022,2022-11-17,"4922,7",17,Noviembre,11
2022,2022-11-18,"5022,03",18,Noviembre,11
2022,2022-11-19,"4994,61",19,Noviembre,11
2022,2022-11-20,"4994,61",20,Noviembre,11
2022,2022-11-21,"4994,61",21,Noviembre,11
2022,2022-11-22,"4958,42",22,Noviembre,11
2022,2022-11-23,"4914,34",23,Noviembre,11
2022,2022-11-24,"4875,91",24,Noviembre,11
2022,2022-11-25,"4875,91",25,Noviembre,11
2022,2022-11-26,"4881,41",26,Noviembre,11
2022,2022-11-27,"4881,41",27,Noviembre,11
2022,2022-11-28,"4881,41",28,Noviembre,11
2022,2022-11-29,"4840,6",29,Noviembre,11
2022,2022-11-30,"4809,51",30,Noviembre,11
2022,2022-12-01,"4815,59",1,Diciembre,12
2022,2022-12-02,"4779,06",2,Diciembre,12
2022,2022-12-03,"4767,19",3,Diciembre,12
2022,2022-12-04,"4767,19",4,Diciembre,12
2022,2022-12-05,"4767,19",5,Diciembre,12
2022,2022-12-06,"4812,37",6,Diciembre,12
2022,2022-12-07,"4818,32",7,Diciembre,12
2022,2022-12-08,"4825,83",8,Diciembre,12
2022,2022-12-09,"4825,83",9,Diciembre,12
2022,2022-12-10,"4815,99",10,Diciembre,12
2022,2022-12-11,"4815,99",11,Diciembre,12
2022,2022-12-12,"4815,99",12,Diciembre,12
2022,2022-12-13,"4836,24",13,Diciembre,12
2022,2022-12-14,"4791,57",14,Diciembre,12
2022,2022-12-15,"4778,28",15,Diciembre,12
2022,2022-12-16,"4797,02",16,Diciembre,12
2022,2022-12-17,"4802,48",17,Diciembre,12
2022,2022-12-18,"4802,48",18,Diciembre,12
2022,2022-12-19,"4802,48",19,Diciembre,12
2022,2022-12-20,"4781,28",20,Diciembre,12
2022,2022-12-21,"4769,29",21,Diciembre,12
2022,2022-12-22,"4761,64",22,Diciembre,12
2022,2022-12-23,"4760,61",23,Diciembre,12
2022,2022-12-24,"4745,04",24,Diciembre,12
2022,2022-12-25,"4745,04",25,Diciembre,12
2022,2022-12-26,"4745,04",26,Diciembre,12
2022,2022-12-27,"4745,04",27,Diciembre,12
2022,2022-12-28,"4766,82",28,Diciembre,12
2022,2022-12-29,"4765,92",29,Diciembre,12
2022,2022-12-30,"4810,2",30,Diciembre,12
2022,2022-12-31,"4810,2",31,Diciembre,12
2023,2023-01-01,"4810,2",1,Enero,1
2023,2023-01-02,"4810,2",2,Enero,1
2023,2023-01-03,"4810,2",3,Enero,1
2023,2023-01-04,"4842,26",4,Enero,1
2023,2023-01-05,4924,5,Enero,1
2023,2023-01-06,"4989,58",6,Enero,1
2023,2023-01-07,"4885,66",7,Enero,1
2023,2023-01-08,"4885,66",8,Enero,1
2023,2023-01-09,"4885,66",9,Enero,1
2023,2023-01-10,"4885,66",10,Enero,1
2023,2023-01-11,"4807,85",11,Enero,1
2023,2023-01-12,"4748,54",12,Enero,1
2023,2023-01-13,"4692,04",13,Enero,1
2023,2023-01-14,"4693,99",14,Enero,1
2023,2023-01-15,"4693,99",15,Enero,1
2023,2023-01-16,"4693,99",16,Enero,1
2023,2023-01-17,"4693,99",17,Enero,1
2023,2023-01-18,"4691,09",18,Enero,1
2023,2023-01-19,"4702,67",19,Enero,1
2023,2023-01-20,"4683,85",20,Enero,1
2023,2023-01-21,"4631,64",21,Enero,1
2023,2023-01-22,"4631,64",22,Enero,1
2023,2023-01-23,"4631,64",23,Enero,1
2023,2023-01-24,"4551,02",24,Enero,1
2023,2023-01-25,"4545,94",25,Enero,1
2023,2023-01-26,"4538,91",26,Enero,1
2023,2023-01-27,"4531,75",27,Enero,1
2023,2023-01-28,"4548,5",28,Enero,1
2023,2023-01-29,"4548,5",29,Enero,1
2023,2023-01-30,"4548,5",30,Enero,1
2023,2023-01-31,"4632,2",31,Enero,1
2023,2023-02-01,"4648,7",1,Febrero,2
2023,2023-02-02,"4639,04",2,Febrero,2
2023,2023-02-03,"4584,44",3,Febrero,2
2023,2023-02-04,"4669,74",4,Febrero,2
2023,2023-02-05,"4669,74",5,Febrero,2
2023,2023-02-06,"4669,74",6,Febrero,2
2023,2023-02-07,"4776,25",7,Febrero,2
2023,2023-02-08,"4775,99",8,Febrero,2
2023,2023-02-09,"4769,85",9,Febrero,2
2023,2023-02-10,"4742,05",10,Febrero,2
2023,2023-02-11,"4777,73",11,Febrero,2
2023,2023-02-12,"4777,73",12,Febrero,2
2023,2023-02-13,"4777,73",13,Febrero,2
2023,2023-02-14,"4818,62",14,Febrero,2
2023,2023-02-15,"4783,24",15,Febrero,2
2023,2023-02-16,"4878,24",16,Febrero,2
2023,2023-02-17,"4966,33",17,Febrero,2
2023,2023-02-18,"4918,94",18,Febrero,2
2023,2023-02-19,"4918,94",19,Febrero,2
2023,2023-02-20,"4918,94",20,Febrero,2
2023,2023-02-21,"4918,94",21,Febrero,2
2023,2023-02-22,"4950,33",22,Febrero,2
2023,2023-02-23,"4924,91",23,Febrero,2
2023,2023-02-24,"4853,9",24,Febrero,2
2023,2023-02-25,"4849,65",25,Febrero,2
2023,2023-02-26,"4849,65",26,Febrero,2
2023,2023-02-27,"4849,65",27,Febrero,2
2023,2023-02-28,"4808,14",28,Febrero,2
2023,2023-03-01,"4814,11",1,Marzo,3
2023,2023-03-02,"4848,78",2,Marzo,3
2023,2023-03-03,"4855,83",3,Marzo,3
2023,2023-03-04,"4780,89",4,Marzo,3
2023,2023-03-05,"4780,89",5,Marzo,3
2023,2023-03-06,"4780,89",6,Marzo,3
2023,2023-03-07,"4734,42",7,Marzo,3
2023,2023-03-08,"4744,95",8,Marzo,3
2023,2023-03-09,"4755,59",9,Marzo,3
2023,2023-03-10,"4748,61",10,Marzo,3
2023,2023-03-11,"4748,14",11,Marzo,3
2023,2023-03-12,"4748,14",12,Marzo,3
2023,2023-03-13,"4748,14",13,Marzo,3
2023,2023-03-14,"4769,76",14,Marzo,3
2023,2023-03-15,"4736,03",15,Marzo,3
2023,2023-03-16,"4835,51",16,Marzo,3
2023,2023-03-17,"4866,5",17,Marzo,3
2023,2023-03-18,"4824,25",18,Marzo,3
2023,2023-03-19,"4824,25",19,Marzo,3
2023,2023-03-20,"4824,25",20,Marzo,3
2023,2023-03-21,"4824,25",21,Marzo,3
2023,2023-03-22,"4804,29",22,Marzo,3
2023,2023-03-23,"4776,09",23,Marzo,3
2023,2023-03-24,"4755,12",24,Marzo,3
2023,2023-03-25,"4741,76",25,Marzo,3
2023,2023-03-26,"4741,76",26,Marzo,3
2023,2023-03-27,"4741,76",27,Marzo,3
2023,2023-03-28,"4686,83",28,Marzo,3
2023,2023-03-29,"4658,79",29,Marzo,3
2023,2023-03-30,"4627,63",30,Marzo,3
2023,2023-03-31,"4627,27",31,Marzo,3
2023,2023-04-01,"4646,08",1,Abril,4
2023,2023-04-02,"4646,08",2,Abril,4
2023,2023-04-03,"4646,08",3,Abril,4
2023,2023-04-04,4603,4,Abril,4
2023,2023-04-05,"4587,31",5,Abril,4
2023,2023-04-06,"4570,91",6,Abril,4
2023,2023-04-07,"4570,91",7,Abril,4
2023,2023-04-08,"4570,91",8,Abril,4
2023,2023-04-09,"4570,91",9,Abril,4
2023,2023-04-10,"4570,91",10,Abril,4
2023,2023-04-11,"4564,24",11,Abril,4
2023,2023-04-12,"4516,76",12,Abril,4
2023,2023-04-13,"4458,87",13,Abril,4
2023,2023-04-14,"4424,02",14,Abril,4
2023,2023-04-15,"4425,27",15,Abril,4
2023,2023-04-16,"4425,27",16,Abril,4
2023,2023-04-17,"4425,27",17,Abril,4
2023,2023-04-18,"4431,45",18,Abril,4
2023,2023-04-19,"4473,07",19,Abril,4
2023,2023-04-20,"4532,43",20,Abril,4
2023,2023-04-21,"4535,78",21,Abril,4
2023,2023-04-22,"4523,64",22,Abril,4
2023,2023-04-23,"4523,64",23,Abril,4
2023,2023-04-24,"4523,64",24,Abril,4
2023,2023-04-25,"4482,45",25,Abril,4
2023,2023-04-26,"4486,6",26,Abril,4
2023,2023-04-27,"4552,59",27,Abril,4
2023,2023-04-28,"4654,14",28,Abril,4
2023,2023-04-29,4669,29,Abril,4
2023,2023-04-30,4669,30,Abril,4
2023,2023-05-01,4669,1,Mayo,5
2023,2023-05-02,4669,2,Mayo,5
2023,2023-05-03,"4713,08",3,Mayo,5
2023,2023-05-04,"4667,09",4,Mayo,5
2023,2023-05-05,"4616,58",5,Mayo,5
2023,2023-05-06,"4552,56",6,Mayo,5
2023,2023-05-07,"4552,56",7,Mayo,5
2023,2023-05-08,"4552,56",8,Mayo,5
2023,2023-05-09,"4490,58",9,Mayo,5
2023,2023-05-10,"4540,34",10,Mayo,5
2023,2023-05-11,"4545,39",11,Mayo,5
2023,2023-05-12,"4601,15",12,Mayo,5
2023,2023-05-13,"4564,44",13,Mayo,5
2023,2023-05-14,"4564,44",14,Mayo,5
2023,2023-05-15,"4564,44",15,Mayo,5
2023,2023-05-16,"4506,49",16,Mayo,5
2023,2023-05-17,"4531,58",17,Mayo,5
2023,2023-05-18,"4528,3",18,Mayo,5
2023,2023-05-19,"4521,64",19,Mayo,5
2023,2023-05-20,"4528,67",20,Mayo,5
2023,2023-05-21,"4528,67",21,Mayo,5
2023,2023-05-22,"4528,67",22,Mayo,5
2023,2023-05-23,"4528,67",23,Mayo,5
2023,2023-05-24,"4501,81",24,Mayo,5
2023,2023-05-25,"4448,93",25,Mayo,5
2023,2023-05-26,"4470,83",26,Mayo,5
2023,2023-05-27,"4461,66",27,Mayo,5
2023,2023-05-28,"4461,66",28,Mayo,5
2023,2023-05-29,"4461,66",29,Mayo,5
2023,2023-05-30,"4461,66",30,Mayo,5
2023,2023-05-31,"4408,65",31,Mayo,5
2023,2023-06-01,"4434,09",1,Junio,6
2023,2023-06-02,"4410,49",2,Junio,6
2023,2023-06-03,"4355,8",3,Junio,6
2023,2023-06-04,"4355,8",4,Junio,6
2023,2023-06-05,"4355,8",5,Junio,6
2023,2023-06-06,"4307,02",6,Junio,6
2023,2023-06-07,4245,7,Junio,6
2023,2023-06-08,"4209,14",8,Junio,6
2023,2023-06-09,"4179,98",9,Junio,6
2023,2023-06-10,"4173,66",10,Junio,6
2023,2023-06-11,"4173,66",11,Junio,6
2023,2023-06-12,"4173,66",12,Junio,6
2023,2023-06-13,"4173,66",13,Junio,6
2023,2023-06-14,"4186,3",14,Junio,6
2023,2023-06-15,"4182,33",15,Junio,6
2023,2023-06-16,"4164,66",16,Junio,6
2023,2023-06-17,"4145,72",17,Junio,6
2023,2023-06-18,"4145,72",18,Junio,6
2023,2023-06-19,"4145,72",19,Junio,6
2023,2023-06-20,"4145,72",20,Junio,6
2023,2023-06-21,"4149,18",21,Junio,6
2023,2023-06-22,"4158,21",22,Junio,6
2023,2023-06-23,"4114,39",23,Junio,6
2023,2023-06-24,"4168,88",24,Junio,6
2023,2023-06-25,"4168,88",25,Junio,6
2023,2023-06-26,"4168,88",26,Junio,6
2023,2023-06-27,"4172,33",27,Junio,6
2023,2023-06-28,"4152,48",28,Junio,6
2023,2023-06-29,"4169,6",29,Junio,6
2023,2023-06-30,"4191,28",30,Junio,6
2023,2023-07-01,"4177,58",1,Julio,7
2023,2023-07-02,"4177,58",2,Julio,7
2023,2023-07-03,"4177,58",3,Julio,7
2023,2023-07-04,"4177,58",4,Julio,7
2023,2023-07-05,"4177,58",5,Julio,7
2023,2023-07-06,"4128,08",6,Julio,7
2023,2023-07-07,"4195,93",7,Julio,7
2023,2023-07-08,"4189,96",8,Julio,7
2023,2023-07-09,"4189,96",9,Julio,7
2023,2023-07-10,"4189,96",10,Julio,7
2023,2023-07-11,"4154,06",11,Julio,7
2023,2023-07-12,"4193,59",12,Julio,7
2023,2023-07-13,"4128,67",13,Julio,7
2023,2023-07-14,"4102,13",14,Julio,7
2023,2023-07-15,"4089,3",15,Julio,7
2023,2023-07-16,"4089,3",16,Julio,7
2023,2023-07-17,"4089,3",17,Julio,7
2023,2023-07-18,"4069,39",18,Julio,7
2023,2023-07-19,"3991,15",19,Julio,7
2023,2023-07-20,"3980,2",20,Julio,7
2023,2023-07-21,"3980,2",21,Julio,7
2023,2023-07-22,"3971,38",22,Julio,7
2023,2023-07-23,"3971,38",23,Julio,7
2023,2023-07-24,"3971,38",24,Julio,7
2023,2023-07-25,"3950,58",25,Julio,7
2023,2023-07-26,"3978,83",26,Julio,7
2023,2023-07-27,"3951,1",27,Julio,7
2023,2023-07-28,"3932,04",28,Julio,7
2023,2023-07-29,"3923,49",29,Julio,7
2023,2023-07-30,"3923,49",30,Julio,7
2023,2023-07-31,"3923,49",31,Julio,7
2023,2023-08-01,"3898,48",1,Agosto,8
2023,2023-08-02,"4007,44",2,Agosto,8
2023,2023-08-03,"4056,99",3,Agosto,8
2023,2023-08-04,"4144,79",4,Agosto,8
2023,2023-08-05,"4077,9",5,Agosto,8
2023,2023-08-06,"4077,9",6,Agosto,8
2023,2023-08-07,"4077,9",7,Agosto,8
2023,2023-08-08,"4077,9",8,Agosto,8
2023,2023-08-09,"4076,46",9,Agosto,8
2023,2023-08-10,"4031,65",10,Agosto,8
2023,2023-08-11,"3955,23",11,Agosto,8
2023,2023-08-12,"3973,41",12,Agosto,8
2023,2023-08-13,"3973,41",13,Agosto,8
2023,2023-08-14,"3973,41",14,Agosto,8
2023,2023-08-15,"4029,95",15,Agosto,8
2023,2023-08-16,"4096,08",16,Agosto,8
2023,2023-08-17,"4130,33",17,Agosto,8
2023,2023-08-18,"4093,96",18,Agosto,8
2023,2023-08-19,"4124,04",19,Agosto,8
2023,2023-08-20,"4124,04",20,Agosto,8
2023,2023-08-21,"4124,04",21,Agosto,8
2023,2023-08-22,"4124,04",22,Agosto,8
2023,2023-08-23,"4120,07",23,Agosto,8
2023,2023-08-24,"4085,89",24,Agosto,8
2023,2023-08-25,"4076,9",25,Agosto,8
2023,2023-08-26,"4117,78",26,Agosto,8
2023,2023-08-27,"4117,78",27,Agosto,8
2023,2023-08-28,"4117,78",28,Agosto,8
2023,2023-08-29,"4111,52",29,Agosto,8
2023,2023-08-30,"4110,08",30,Agosto,8
2023,2023-08-31,"4085,33",31,Agosto,8
2023,2023-09-01,"4099,2",1,Septiembre,9
2023,2023-09-02,"4063,36",2,Septiembre,9
2023,2023-09-03,"4063,36",3,Septiembre,9
2023,2023-09-04,"4063,36",4,Septiembre,9
2023,2023-09-05,"4063,36",5,Septiembre,9
2023,2023-09-06,"4089,46",6,Septiembre,9
2023,2023-09-07,"4093,04",7,Septiembre,9
2023,2023-09-08,"4045,83",8,Septiembre,9
2023,2023-09-09,"4012,26",9,Septiembre,9
2023,2023-09-10,"4012,26",10,Septiembre,9
2023,2023-09-11,"4012,26",11,Septiembre,9
2023,2023-09-12,"3997,74",12,Septiembre,9
2023,2023-09-13,"3993,53",13,Septiembre,9
2023,2023-09-14,"3950,92",14,Septiembre,9
2023,2023-09-15,"3926,59",15,Septiembre,9
2023,2023-09-16,"3928,28",16,Septiembre,9
2023,2023-09-17,"3928,28",17,Septiembre,9
2023,2023-09-18,"3928,28",18,Septiembre,9
